iter	Passed	Remaining
0	7	1424
1	14	1454
2	21	1405
3	30	1478
4	41	1618
5	49	1608
6	56	1561
7	64	1538
8	70	1505
9	72	1374
10	79	1361
11	85	1336
12	91	1313
13	98	1304
14	104	1282
15	110	1276
16	117	1264
17	124	1257
18	132	1258
19	138	1245
20	144	1229
21	150	1215
22	157	1209
23	163	1196
24	170	1190
25	176	1179
26	182	1169
27	194	1197
28	205	1210
29	211	1197
30	218	1190
31	224	1178
32	230	1168
33	239	1167
34	244	1154
35	251	1147
36	257	1135
37	263	1125
38	271	1120
39	277	1109
40	284	1102
41	290	1091
42	296	1080
43	302	1070
44	308	1062
45	314	1052
46	320	1043
47	326	1033
48	333	1027
49	339	1018
50	346	1013
51	352	1004
52	358	994
53	365	988
54	373	984
55	382	984
56	389	978
57	397	973
58	403	965
59	410	958
60	416	949
61	422	940
62	430	935
63	435	926
64	444	922
65	450	914
66	455	904
67	461	896
68	468	888
69	474	881
70	482	876
71	489	869
72	495	861
73	501	853
74	508	847
75	514	839
76	520	832
77	527	825
78	533	817
79	540	810
80	548	805
81	557	801
82	565	796
83	572	790
84	579	784
85	586	777
86	592	770
87	599	762
88	605	755
89	611	747
90	618	740
91	624	732
92	631	726
93	637	718
94	643	710
95	650	704
96	656	697
97	662	689
98	669	682
99	674	674
100	681	668
101	687	660
102	693	652
103	700	646
104	706	638
105	712	631
106	719	625
107	724	617
108	733	612
109	741	606
110	747	599
111	753	592
112	761	586
113	767	578
114	774	572
115	781	565
116	786	558
117	794	551
118	800	544
119	807	538
120	813	530
121	819	523
122	825	516
123	831	509
124	838	502
125	844	495
126	850	488
127	859	483
128	866	477
129	875	471
130	883	465
131	892	459
132	898	452
133	908	447
134	916	441
135	926	435
136	932	428
137	939	422
138	947	415
139	954	409
140	960	401
141	967	395
142	973	388
143	979	380
144	986	374
145	994	367
146	1001	361
147	1007	353
148	1014	347
149	1020	340
150	1025	332
151	1033	326
152	1039	319
153	1045	312
154	1051	305
155	1057	298
156	1064	291
157	1070	284
158	1075	277
159	1082	270
160	1090	264
161	1099	257
162	1106	251
163	1115	244
164	1121	237
165	1129	231
166	1135	224
167	1142	217
168	1149	210
169	1154	203
170	1162	197
171	1168	190
172	1169	182
173	1176	175
174	1182	168
175	1222	166
176	1243	161
177	1258	155
178	1266	148
179	1274	141
180	1282	134
181	1290	127
182	1298	120
183	1305	113
184	1311	106
185	1317	99
186	1324	92
187	1330	84
188	1337	77
189	1343	70
190	1349	63
191	1356	56
192	1362	49
193	1369	42
194	1375	35
195	1381	28
196	1388	21
197	1394	14
198	1402	7
199	1408	0
